country_code,shop_id,date,rating_star,follower_count,item_count,response_rate,response_time,rating_good,rating_normal,rating_bad,cancellation_rate,vacation,rating_total,following_count,shop_name,is_official_shop,is_shopee_verified,is_preferred_plus_seller,source_file,source_row,path_country_code,path_dataset,path_shop_id,rating_star_num,follower_count_num,item_count_num,response_rate_num,response_time_num,rating_good_num,rating_normal_num,rating_bad_num,cancellation_rate_num,rating_total_num,following_count_num,vacation_bool,is_official_shop_bool,is_shopee_verified_bool,is_preferred_plus_seller_bool
id,779266191,2026-07-14,4.89,843541,41,100,11,742727,10475,1999,0,false,755201,0,lavojoy Official Shop,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=779266191/shop_stats.csv,15,id,shop_stats,779266191,4.89,843541.0,41.0,100.0,11.0,742727.0,10475.0,1999.0,0.0,755201.0,0.0,False,True,False,False
id,779266191,2026-07-16,4.89,844078,41,100,12,744368,10488,2003,0,false,756859,0,lavojoy Official Shop,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=779266191/shop_stats.csv,16,id,shop_stats,779266191,4.89,844078.0,41.0,100.0,12.0,744368.0,10488.0,2003.0,0.0,756859.0,0.0,False,True,False,False
id,779266191,2026-07-18,4.89,844535,41,100,12,745540,10498,2006,0,false,758044,0,lavojoy Official Shop,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=779266191/shop_stats.csv,17,id,shop_stats,779266191,4.89,844535.0,41.0,100.0,12.0,745540.0,10498.0,2006.0,0.0,758044.0,0.0,False,True,False,False
id,779266191,2026-07-19,4.89,844916,41,100,11,746379,10504,2006,0,false,758889,0,lavojoy Official Shop,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=779266191/shop_stats.csv,18,id,shop_stats,779266191,4.89,844916.0,41.0,100.0,11.0,746379.0,10504.0,2006.0,0.0,758889.0,0.0,False,True,False,False
id,779266191,2026-07-17,4.89,844339,41,100,12,745109,10494,2005,0,false,757608,0,lavojoy Official Shop,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=779266191/shop_stats.csv,19,id,shop_stats,779266191,4.89,844339.0,41.0,100.0,12.0,745109.0,10494.0,2005.0,0.0,757608.0,0.0,False,True,False,False
id,779266191,2026-07-21,4.89,845531,41,100,11,747426,10513,2006,0,false,759945,0,lavojoy Official Shop,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=779266191/shop_stats.csv,20,id,shop_stats,779266191,4.89,845531.0,41.0,100.0,11.0,747426.0,10513.0,2006.0,0.0,759945.0,0.0,False,True,False,False
id,779266191,2026-07-20,4.89,845236,41,100,11,746887,10510,2006,0,false,759403,0,lavojoy Official Shop,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=779266191/shop_stats.csv,21,id,shop_stats,779266191,4.89,845236.0,41.0,100.0,11.0,746887.0,10510.0,2006.0,0.0,759403.0,0.0,False,True,False,False
id,809769142,2026-07-02,4.88,5566403,225,100,32,8186740,94888,19864,0,false,8301492,7,Glad2Glow Official Store,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=809769142/shop_stats.csv,2,id,shop_stats,809769142,4.88,5566403.0,225.0,100.0,32.0,8186740.0,94888.0,19864.0,0.0,8301492.0,7.0,False,True,False,False
id,809769142,2026-07-01,4.88,5564353,225,100,33,8186740,94888,19864,0,false,8301492,7,Glad2Glow Official Store,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=809769142/shop_stats.csv,3,id,shop_stats,809769142,4.88,5564353.0,225.0,100.0,33.0,8186740.0,94888.0,19864.0,0.0,8301492.0,7.0,False,True,False,False
id,809769142,2026-07-03,4.88,5569809,225,100,31,8186740,94888,19864,0,false,8301492,7,Glad2Glow Official Store,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=809769142/shop_stats.csv,4,id,shop_stats,809769142,4.88,5569809.0,225.0,100.0,31.0,8186740.0,94888.0,19864.0,0.0,8301492.0,7.0,False,True,False,False
