platform,client,key,category_id,parent_category_id,original_category_name,display_category_name,has_children,debug_message
Shopee,758395205,get_category,100903,100664,Blotting Paper,Giấy thấm dầu,False,
Shopee,758395205,get_category,100902,100664,After Sun Face Care,Kem dưỡng sau chống nắng,False,
Shopee,758395205,get_category,100901,100664,Face Sunscreen,Kem chống nắng cho mặt,False,
Shopee,758395205,get_category,100900,100664,Lip Treatment,Sản phẩm dưỡng môi,True,
Shopee,758395205,get_category,101676,100900,Others,Khác,False,
Shopee,758395205,get_category,101675,100900,Lip Mask,Mặt nạ cho môi,False,
Shopee,758395205,get_category,101674,100900,Lip Scrub & Exfoliator,Tẩy tế bào chết môi,False,
Shopee,758395205,get_category,101673,100900,Lip Balm,Son dưỡng môi,False,
Shopee,758395205,get_category,100899,100664,Eye Treatment,Sản phẩm dưỡng mắt,True,
Shopee,758395205,get_category,101672,100899,Others,Khác,False,
Shopee,758395205,get_category,101671,100899,Eyebrow & Eyelash Serum,Tinh chất dưỡng mày & mi,False,
Shopee,758395205,get_category,101670,100899,Eye Mask & Packs,Mặt nạ cho mắt,False,
Shopee,758395205,get_category,101669,100899,Eye Cream,Kem dưỡng mắt,False,
Shopee,758395205,get_category,100898,100664,Face Mask & Packs,Mặt nạ,False,
Shopee,758395205,get_category,100897,100664,Face Scrub & Peel,Tẩy tế bào chết,False,
Shopee,758395205,get_category,100896,100664,Facial Serum & Essence,Tinh chất dưỡng,False,
Shopee,758395205,get_category,100895,100664,Facial Mist,Xịt khoáng,False,
Shopee,758395205,get_category,100894,100664,Facial Oil,Dầu dưỡng ẩm,False,
Shopee,758395205,get_category,100893,100664,Facial Moisturizer,Kem dưỡng ẩm,False,
Shopee,758395205,get_category,100892,100664,Toner,Nước cân bằng da,False,
Shopee,758395205,get_category,100891,100664,Facial Cleanser,Sữa rửa mặt,False,
Shopee,758395205,get_category,100663,100630,Beauty Tools,Dụng cụ làm đẹp,True,
Shopee,758395205,get_category,100890,100663,Others,Khác,False,
Shopee,758395205,get_category,100889,100663,Hair Tools,Dụng cụ chăm sóc tóc,True,
Shopee,758395205,get_category,101668,100889,Others,Khác,False,
Shopee,758395205,get_category,101667,100889,Heatless Styling Tools,Dụng cụ tạo kiểu không nhiệt,False,
Shopee,758395205,get_category,101666,100889,Hair Styling Appliances,Máy tạo kiểu tóc,False,
Shopee,758395205,get_category,101665,100889,Hair Dryers,Máy sấy tóc,False,
Shopee,758395205,get_category,101664,100889,Brushes & Combs,Lược chải,False,
Shopee,758395205,get_category,100888,100663,Hair Removal Tools,Dụng cụ tẩy lông,False,
