"country_code","shop_id","item_id","date","price","price_original","price_before_promo","discount_percent","history_sold","monthly_sold","liked_count","rating","rating_count","unit_sold"
vn,"438905996","29727728677",2026-07-17,189000,205000,189000,8,628,,91,4.88,162,0
vn,"438905996","26284532008",2026-07-17,140000,199000,140000,30,31,2,17,5.00,10,0
vn,"438905996","21188363250",2026-07-17,165000,165000,165000,,15,,3,4.40,5,0
vn,"438905996","43957595456",2026-07-17,230000,300000,230000,23,73,2,25,5.00,12,0
vn,"438905996","40581612807",2026-07-18,62000,62000,62000,,64,64,5,4.78,9,0
vn,"1145316676","25661947997",2026-07-18,850000,1100000,850000,23,695,12,447,4.93,116,0
vn,"213989179","23451401334",2026-07-18,114190,120200,114190,5,327,93,39,4.90,51,0
vn,"1145316676","26577785819",2026-07-19,500000,500000,500000,,1000,3,2,4.91,321,0
id,"1368540320","42082705562",2026-07-19,39000,260000,39000,85,,,0,0.00,0,0
id,"1368540320","48514256293",2026-07-19,69000,460000,69000,85,,,0,0.00,0,0
id,"1368540320","48614251528",2026-07-19,63000,420000,63000,85,,,1,0.00,0,0
id,"1368540320","51814223770",2026-07-19,73500,490000,73500,85,,,0,0.00,0,0
id,"1368540320","52214226534",2026-07-19,69000,460000,69000,85,,,0,0.00,0,0
id,"1368540320","52364226515",2026-07-19,90000,600000,90000,85,,,0,0.00,0,0
id,"1368540320","52762415493",2026-07-19,70800,472000,70800,85,,,1,0.00,0,0
id,"1368540320","52912412561",2026-07-19,65550,437000,65550,85,,,0,0.00,0,0
vn,"108166524","54954127040",2026-07-19,376000,440000,376000,15,6000,5000,47,4.91,120,0
vn,"108166524","52704131305",2026-07-19,526000,660000,526000,20,10000,10000,64,4.95,143,0
vn,"213989179","26162211788",2026-07-19,41705,43900,41705,5,1000,483,28,4.84,140,0
vn,"1546895026","26237445832",2026-07-19,192000,200000,192000,4,5000,543,360,4.97,1002,0
vn,"1546895026","40403991264",2026-07-19,95000,100000,95000,5,7000,598,501,4.96,1100,0
id,"809769142","45013632307",2026-07-20,87900,149000,87900,41,20,20,20,5.00,5,0
