product_listing_key,country_code,shop_id,item_id,product_name,snapshot_date,tier_variation_name,tier_variation_options,tier_variation_options_count
id:1112776376:55060846998,id,1112776376,55060846998,[NEW LAUNCH] SCORA 5% D-Panthenol Barrier Water Gel Moisturizer With Cica 40Ml,2026-07-03,,"[""""]",1
id:1112776376:56552128292,id,1112776376,56552128292,Scora Phytobright Gentle Low pH Cleanser 100ml | Sabun Muka Sabun Wajah Sensitif sabun mencerahkan Scora Official Store,2026-07-03,,"[""""]",1
id:1112776376:57153552258,id,1112776376,57153552258,4 Pcs Bundles: Scora Cleanser Series 100ml + Scora Toner Series 80 ml + Scora Serum Series 20ml + SCORA Bright Me Up Sunscreen 40 gr,2026-07-03,Bundle Set,"[""4 Pcs - Acne"", ""4 Pcs - Brightening"", ""4 Pcs - Hydrating""]",3
id:1368540320:24994496898,id,1368540320,24994496898,Cyeecare Paket Glowing Duo Eksfoliasi: Serum AHA + Cleanser Mencerahkan Kulit Kusam Kecilkan Pori-Pori,2026-07-03,type,"[""[New]Set"", ""set""]",2
id:1368540320:26120309394,id,1368540320,26120309394,Cyeecare AHA BHA PHA LHA Peeling Solution Serum Eksfoliasi Wajah Menghaluskan Mencerahkan Kulit Mengangkat Sel Kulit Mati Komedo 20g,2026-07-03,Ukuran,"[""[Promosi]1 PCS"", ""1 PCS"", ""2 PCS"", ""Paket Hemat"", ""Tone-Up Cream*1"", ""Tone-Up Cream*3"", ""HairMask"", ""GlowSerum"", ""Serum+Glow Pair"", ""Serum+GlowSerum"", ""Serum+Hair Pair""]",11
id:1368540320:26240939189,id,1368540320,26240939189,Cyeecare 5X Centella Soothing Cream 30g Moisturizer Wajah Pereda Kemerahan Perbaikan Skin Barrier Glowing Halus Ringan BPOM,2026-07-03,Jumlah,"[""[New]Soothing Cream"", ""[New]Serum+Cream""]",2
id:1368540320:27091058952,id,1368540320,27091058952,Cyeecare Niacinamide&Squalane Brightening Serum Wajah Pemutih Wajah Serum 20g,2026-07-03,Ukuran,"[""20 G""]",1
id:1368540320:27837446231,id,1368540320,27837446231,[PROMO] Cyeecare Intensive Peeling Solution Serum Eksfoliasi Wajah AHA BHA PHA Glass Skin Mencerahkan Anti Komedo Kulit Kusam 20g,2026-07-03,type,"[""[Promosi]20g"", ""20g"", ""40g""]",3
id:1368540320:28036053313,id,1368540320,28036053313,Cyeecare Tone Up Cream Krim Pencerah Wajah Glowing Instan Moisturizer Pelembab Mencerahkan Kulit Kusam Cream Siang Cerah Instan Day Cream,2026-07-03,Jumlah,"[""1 PCS"", ""3 PCS"", ""3 ToneUp +1 Peeling"", ""ToneUp+Peeling""]",4
id:1368540320:28770371035,id,1368540320,28770371035,Cyeecare Tri-Acid Arbutin Cleansing Gel Facial Wash Sabun Cuci Muka AHA BHA PHA Kulit Berminyak & Jerawat 120ml,2026-07-03,Ukuran,"[""[New] 1 PCS"", ""[New] 2 PCS"", ""[Promosi] 1 PCS"", ""1 PCS"", ""2 PCS""]",5
