shop_id,shop_name,username,rating_star,follower_count,item_count,is_official_shop,response_rate,response_time,rating_good,rating_normal,rating_bad,cancellation_rate,created_at,vacation,country_code,date,source_file,path_country_code,path_dataset,path_shop_id,response_time_num,rating_good_num,cancellation_rate_num,response_rate_num,rating_star_num,item_count_num,rating_normal_num,follower_count_num,rating_bad_num,is_official_shop_bool,vacation_bool
108166524,Nestlé Chính hãng,nestlevnn,4.923517,476759,1753,True,100,947,821759,8814,6621,0,2018-11-27T10:26:31+00:00,False,vn,2026-07-03,Dataset/DataRaw/country_code=vn/dataset=shop_info/shop_id=108166524/shop_info.csv,vn,shop_info,108166524,947,821759,0,100,4.923517,1753,8814,476759,6621,true,false
1145316676,Nestlé Health Science,nestlehealthscience,4.874526,11637,119,True,100,65,15891,302,213,1,2023-12-18T07:13:25+00:00,False,vn,2026-07-03,Dataset/DataRaw/country_code=vn/dataset=shop_info/shop_id=1145316676/shop_info.csv,vn,shop_info,1145316676,65,15891,1,100,4.874526,119,302,11637,213,true,false
140360136,Kinh Do Official Store,kinhdo_official_store,4.871107,548137,172,True,100,54,251786,4783,3617,29,2019-04-16T07:16:51+00:00,False,vn,2026-07-03,Dataset/DataRaw/country_code=vn/dataset=shop_info/shop_id=140360136/shop_info.csv,vn,shop_info,140360136,54,251786,29,100,4.871107,172,4783,548137,3617,true,false
1546895026,Mars Snacking VN,mars.wrigley.vn,4.937186,14986,97,True,100,257,27368,202,138,0,2025-05-21T07:02:06+00:00,False,vn,2026-07-03,Dataset/DataRaw/country_code=vn/dataset=shop_info/shop_id=1546895026/shop_info.csv,vn,shop_info,1546895026,257,27368,0,100,4.937186,97,202,14986,138,true,false
173513432,Richy - Chi Nhánh Miền Bắc,richystore.mb,4.921164,96105,325,False,98,10445,113035,1351,788,0,2019-08-27T10:13:18+00:00,False,vn,2026-07-03,Dataset/DataRaw/country_code=vn/dataset=shop_info/shop_id=173513432/shop_info.csv,vn,shop_info,173513432,10445,113035,0,98,4.921164,325,1351,96105,788,false,false
213989179,Bibica Official Store,bibica_corporation,4.897342,84664,98,True,98,6994,46422,746,439,0,2019-12-26T02:53:09+00:00,False,vn,2026-07-03,Dataset/DataRaw/country_code=vn/dataset=shop_info/shop_id=213989179/shop_info.csv,vn,shop_info,213989179,6994,46422,0,98,4.897342,98,746,84664,439,true,false
289646907,Orion VN Official Store,orion_official_store,4.911955,87482,238,True,95,8097,72397,861,641,0,2020-07-27T06:50:37+00:00,False,vn,2026-07-03,Dataset/DataRaw/country_code=vn/dataset=shop_info/shop_id=289646907/shop_info.csv,vn,shop_info,289646907,8097,72397,0,95,4.911955,238,861,87482,641,true,false
430972539,Perfetti Van Melle Vietnam,perfetti_officialstore,4.931921,255284,23,True,100,55,49047,521,279,0,2021-04-26T07:22:24+00:00,False,vn,2026-07-03,Dataset/DataRaw/country_code=vn/dataset=shop_info/shop_id=430972539/shop_info.csv,vn,shop_info,430972539,55,49047,0,100,4.931921,23,521,255284,279,true,false
438905996,Richy - Chi nhánh Miền Nam,richystore.mn,4.928552,41472,298,False,99,6160,60250,619,360,0,2021-05-07T03:03:10+00:00,False,vn,2026-07-03,Dataset/DataRaw/country_code=vn/dataset=shop_info/shop_id=438905996/shop_info.csv,vn,shop_info,438905996,6160,60250,0,99,4.928552,298,619,41472,360,false,false
464391416,Bánh Kẹo Hải Hà - Chính hãng,haihaco_hcm,4.947162,10920,32,False,,,2337,22,16,0,2021-06-11T03:46:25+00:00,False,vn,2026-07-03,Dataset/DataRaw/country_code=vn/dataset=shop_info/shop_id=464391416/shop_info.csv,vn,shop_info,464391416,,2337,0,,4.947162,32,22,10920,16,false,false
