platform,client,key,category_id,parent_category_id,original_category_name,display_category_name,has_children,debug_message,source_file,path_country_code,path_dataset,path_shop_id,country_code,parent_category_id_num,category_id_num,client_num,has_children_bool
Shopee,758395205,get_category,100112,100017,Sleepwear & Pajamas,Sleepwear & Pajamas,TRUE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100017,100112,758395205,true
Shopee,758395205,get_category,100392,100112,Others,Lainnya,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100112,100392,758395205,false
Shopee,758395205,get_category,100391,100112,Kimonos & Robes,Kimonos & Robes,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100112,100391,758395205,false
Shopee,758395205,get_category,100390,100112,Night Dresses,Night Dresses,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100112,100390,758395205,false
Shopee,758395205,get_category,100389,100112,Pajamas,Pajamas,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100112,100389,758395205,false
Shopee,758395205,get_category,100111,100017,Lingerie & Underwear,Lingerie & Underwear,TRUE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100017,100111,758395205,true
Shopee,758395205,get_category,100388,100111,Others,Lainnya,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100111,100388,758395205,false
Shopee,758395205,get_category,100387,100111,Sexy Lingerie,Sexy Lingerie,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100111,100387,758395205,false
Shopee,758395205,get_category,100386,100111,Safety Pants,Safety Pants,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100111,100386,758395205,false
Shopee,758395205,get_category,100385,100111,Shapewear,Shapewear,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100111,100385,758395205,false
Shopee,758395205,get_category,100384,100111,Bra Accessories,Bra Accessories,TRUE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100111,100384,758395205,true
Shopee,758395205,get_category,100526,100384,Others,Lainnya,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100384,100526,758395205,false
Shopee,758395205,get_category,100525,100384,Nipple Stickers,Nipple Stickers,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100384,100525,758395205,false
Shopee,758395205,get_category,100524,100384,Paddings,Paddings,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100384,100524,758395205,false
Shopee,758395205,get_category,100523,100384,Straps,Straps,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100384,100523,758395205,false
Shopee,758395205,get_category,100383,100111,Thermal Innerwear,Thermal Innerwear,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100111,100383,758395205,false
Shopee,758395205,get_category,100382,100111,Panties,Panties,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100111,100382,758395205,false
Shopee,758395205,get_category,100381,100111,Bras,Bras,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100111,100381,758395205,false
Shopee,758395205,get_category,100380,100111,Sets,Setelan,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100111,100380,758395205,false
Shopee,758395205,get_category,100110,100017,Sets,Setelan,TRUE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100017,100110,758395205,true
Shopee,758395205,get_category,100379,100110,Others,Lainnya,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100110,100379,758395205,false
Shopee,758395205,get_category,100378,100110,Individual Sets,Individual Sets,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100110,100378,758395205,false
Shopee,758395205,get_category,100377,100110,Family Sets,Family Sets,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100110,100377,758395205,false
Shopee,758395205,get_category,100376,100110,Couple Sets,Couple Sets,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100110,100376,758395205,false
Shopee,758395205,get_category,100109,100017,Hoodies & Sweatshirts,Hoodies & Sweatshirts,TRUE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100017,100109,758395205,true
Shopee,758395205,get_category,100375,100109,Others,Lainnya,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100109,100375,758395205,false
Shopee,758395205,get_category,100374,100109,Hoodies,Hoodie,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100109,100374,758395205,false
Shopee,758395205,get_category,100373,100109,Sweatshirts,Sweatshirts,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100109,100373,758395205,false
Shopee,758395205,get_category,100108,100017,Sweaters & Cardigans,Sweter & Kardigan,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100017,100108,758395205,false
Shopee,758395205,get_category,100107,100017,"Jackets, Coats & Vests","Jackets, Coats & Vests",TRUE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100017,100107,758395205,true
Shopee,758395205,get_category,100372,100107,Others,Lainnya,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100107,100372,758395205,false
Shopee,758395205,get_category,100371,100107,Vests,Rompi,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100107,100371,758395205,false
Shopee,758395205,get_category,100370,100107,Jackets,Jaket,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100107,100370,758395205,false
Shopee,758395205,get_category,100369,100107,Blazers,Blazer,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100107,100369,758395205,false
Shopee,758395205,get_category,100368,100107,Capes,Capes,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100107,100368,758395205,false
Shopee,758395205,get_category,100367,100107,Winter Jackets & Coats,Winter Jackets & Coats,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100107,100367,758395205,false
Shopee,758395205,get_category,100106,100017,"Jumpsuits, Playsuits & Overalls","Jumpsuit, Playsuit & Overalls",TRUE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100017,100106,758395205,true
Shopee,758395205,get_category,100366,100106,Others,Lainnya,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100106,100366,758395205,false
Shopee,758395205,get_category,100365,100106,Overalls,Overalls,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100106,100365,758395205,false
Shopee,758395205,get_category,100364,100106,Playsuits,Playsuits,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100106,100364,758395205,false
Shopee,758395205,get_category,100363,100106,Jumpsuits,Jumpsuits,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100106,100363,758395205,false
Shopee,758395205,get_category,100105,100017,Wedding Dresses,Wedding Dresses,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100017,100105,758395205,false
Shopee,758395205,get_category,100104,100017,Dresses,Gaun / Dress,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100017,100104,758395205,false
Shopee,758395205,get_category,100103,100017,Jeans,Jeans,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100017,100103,758395205,false
Shopee,758395205,get_category,100102,100017,Skirts,Rok,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100017,100102,758395205,false
Shopee,758395205,get_category,100101,100017,Shorts,Celana Pendek,TRUE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100017,100101,758395205,true
Shopee,758395205,get_category,100362,100101,Others,Lainnya,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100101,100362,758395205,false
Shopee,758395205,get_category,100361,100101,Skorts,Skorts,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100101,100361,758395205,false
Shopee,758395205,get_category,100360,100101,Shorts,Celana Pendek,FALSE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100101,100360,758395205,false
Shopee,758395205,get_category,100100,100017,Pants & Leggings,Pants & Leggings,TRUE,,Dataset/DataRaw/country_code=id/dataset=category_platform/category_platform.csv,id,category_platform,,id,100017,100100,758395205,true
